ts	phase	decision	why	evidence	result
2026-08-15T18:40:38Z	frame	Done means dead Day-1/template paths gone, README/about/AGENTS match the running hospice board, npm test green	Cross-cutting cleanup needs a checkable stop	user_query repo sweep	open
2026-08-15T18:40:38Z	frame	Scope: delete SETUP growing-into writing-skills .scratch old .audit brief-polish and unused brain; update README about-me AGENTS FILL stubs; keep briefs pstack skills product	Subtract dead weight first; keep load-bearing agent/product surfaces	Phase A inventory	open
2026-08-15T18:40:38Z	frame	Rigor medium-high on deletes (ref graph + tests); prose updates low; brain delete needs hook unwire	Hook pair CI and verify-green risk if we leave dangling paths	hooks.json brain-enrich	open
2026-08-15T18:41:03Z	harness	Pinned baseline: 37 files, 117 tests pass	Prove deletes do not break product behavior	npm test	tests green
2026-08-15T18:43:18Z	deletes	Removed SETUP.md, growing-into, writing-your-own-skills, .scratch weekend notes, brief-polish audit	Day-1 and superseded planning noise; product and issues already hold the truth	git rm paths	kept
2026-08-15T18:43:18Z	deletes	Removed unused brain/ and unwired brain-enrich from Claude/Cursor/Grok hooks plus run-claude-hook.sh	Empty corpus never ingested; subtract dead optional system	hooks.json keys without UserPromptSubmit/beforeSubmitPrompt	kept
2026-08-15T18:43:18Z	docs	Rewrote README judge-first; refreshed about-me constraints; filled AGENTS folder map; filled launch-check and security-reviewer stubs; package.json description; enabled verify-green npm test	Surfaces said Day-1 template while product is a running board	npm test 117 pass; hook block exit 2	tests green
2026-08-15T18:43:57Z	verify	Predicate met: dead paths gone, README/about/AGENTS match running board, 117 tests pass, hook block/allow proven	End-to-end check against Phase A done definition	/opt/cursor/artifacts/npm_test_after_sweep.log + hook_guardrail_check.log	VERIFIED
2026-08-15T18:44:32Z	verify	No dangling SETUP/brain/scratch/growing/writing-skills refs outside decision-log	Close the reference-graph gap the cross-review flagged	rg after deletes returned none	VERIFIED
2026-08-15T18:44:32Z	verify	shellcheck -S warning -x clean on tracked scripts; bash -n clean	Close hooks-CI gap for hook/CI script edits	shellcheck_ok in session	VERIFIED
2026-08-15T18:44:32Z	verify	Allow path proven: README.md hook exit 0 with permission allow	Cross-review asked for allow evidence next to block	/opt/cursor/artifacts/hook_guardrail_check.log	VERIFIED
2026-08-15T18:44:32Z	deletes	Kept scratch research deletion: eRx/HCPCS/HCHB facts already in CONTEXT.md, prd.md, briefs, decision-log, GitHub issues	Unique planning prose is gone; load-bearing product facts remain	CONTEXT.md:63-107 docs/prd.md:85-113	kept
